Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Gender,Country,Timestamp
42.44,33.0,38645.4,230.36,Managed client-server access,New Teresa,Male,Saint Lucia,2016-06-16 02:01:24
56.39,24.0,51049.47,203.84,Decentralized real-time circuit,Kennedyfurt,Male,Hungary,2016-07-05 18:59:45
81.37,37.0,70492.6,141.89,Enterprise-wide tangible model,West Angela,Male,Marshall Islands,2016-06-05 21:38:22
47.23,27.0,68962.32,106.86,Team-oriented transitional methodology,Portermouth,Female,Western Sahara,2016-02-09 07:21:25
37.0,40.0,62204.93,144.27,Seamless intangible secured line,Bakerhaven,Male,Senegal,2016-05-17 18:06:46
39.47,31.0,43881.73,231.87,Reactive tangible contingency,East Debraborough,Female,Hong Kong,2016-01-26 03:56:18
76.44,28.0,45716.48,196.83,Inverse local hub,Shelbyport,Female,Poland,2016-02-03 23:47:56
48.86,38.0,50147.72,216.03,Automated full-range Internet solution,Port James,Male,Turkmenistan,2016-03-18 17:35:40
51.95,31.0,57669.41,119.03,Fully-configurable incremental Graphical User Interface,Davieshaven,Female,Cambodia,2016-04-06 11:24:21
55.39,27.0,48761.14,106.86,Team-oriented transitional methodology,North Derekville,Female,Tokelau,2016-04-17 06:58:18
41.49,22.0,46780.09,212.58,Public-key asynchronous matrix,Jacobstad,Female,Eritrea,2016-02-04 08:53:37
64.1,45.0,31092.93,229.88,Synchronized multi-tasking ability,Kylieview,Male,Saint Helena,2016-02-01 09:00:55
53.44,39.0,54725.87,133.2,Organized global model,Hannahside,Male,South Africa,2016-07-18 04:53:22
68.18,46.0,46500.11,233.36,Up-sized secondary software,East Breannafurt,Female,Barbados,2016-07-07 13:37:34
55.6,30.0,55336.18,136.4,Stand-alone national attitude,Yangside,Male,Cameroon,2016-02-11 17:02:07
76.44,22.0,62060.11,158.56,Cross-platform logistical pricing structure,Rhondaborough,Female,Liberia,2016-04-25 07:30:21
47.23,49.0,65576.05,218.61,Centralized neutral neural-net,Port James,Female,Qatar,2016-03-18 17:35:40
40.67,40.0,47357.39,144.27,Managed impactful definition,Perryburgh,Male,Bosnia and Herzegovina,2016-05-17 18:06:46
43.88,43.0,50333.72,210.87,Sharable multimedia conglomeration,Lake Stephenborough,Female,Barbados,2016-07-03 04:11:40
70.2,44.0,42362.49,141.89,Public-key disintermediate emulation,New Teresa,Male,Ukraine,2016-06-17 17:11:16
56.2,24.0,62060.11,195.69,Profit-focused secondary portal,Perezland,Female,Bahamas,2016-06-24 21:09:58
41.49,36.0,79332.33,136.64,Innovative user-facing extranet,Kylieview,Male,Saint Helena,2016-04-28 22:54:37
75.84,31.0,70495.64,119.03,Extended local methodology,Smithside,Male,France,2016-05-27 05:23:26
64.1,22.0,59422.47,217.37,Business-focused value-added definition,Hartport,Male,Bosnia and Herzegovina,2016-03-02 05:11:01
55.39,24.0,64008.55,195.69,Profit-focused secondary portal,Perezland,Female,Austria,2016-06-24 21:09:58
76.44,28.0,45716.48,196.83,Adaptive asynchronous attitude,Shelbyport,Female,Poland,2016-02-03 23:47:56
69.2,34.0,50038.65,122.31,De-engineered mobile infrastructure,Brownbury,Female,China,2016-03-04 13:47:47
74.41,50.0,50628.31,149.67,User-friendly well-modulated leverage,New Teresa,Male,Tajikistan,2016-01-12 10:07:29
41.73,46.0,68787.09,165.65,Ergonomic methodical encoding,West Wendyland,Male,Barbados,2016-01-30 04:38:41
69.78,29.0,60575.99,118.45,Managed 5thgeneration time-frame,Johnstonmouth,Female,Hong Kong,2016-01-22 12:58:14
78.76,26.0,47510.42,172.81,Universal incremental array,New Darlene,Female,Costa Rica,2016-02-03 23:47:56
44.11,34.0,54324.73,221.53,Vision-oriented methodical support,New Teresa,Male,Switzerland,2016-02-16 07:37:28
55.6,29.0,72209.99,238.63,Automated full-range Internet solution,West Kevinfurt,Male,Thailand,2016-07-15 15:43:36
68.18,39.0,60550.66,138.87,Centralized neutral neural-net,Contrerasshire,Female,Anguilla,2016-07-23 04:04:42
48.26,46.0,36424.94,132.38,Polarized 5thgeneration matrix,East Breannafurt,Female,Barbados,2016-01-24 01:53:14
55.55,26.0,30227.98,201.15,Expanded clear-thinking core,East Heidi,Female,Benin,2016-03-10 23:26:54
68.25,31.0,40478.83,212.67,Ameliorated tangible hierarchy,Port Melissastad,Male,France,2016-05-27 05:23:26
76.2,35.0,23942.61,148.61,Reactive impactful challenge,Curtisport,Female,Micronesia,2016-04-24 01:48:21
88.89,19.0,65791.17,168.0,Phased full-range hardware,Joanntown,Male,Saint Helena,2016-01-26 03:56:18
72.03,31.0,44490.09,238.1,Cloned optimal leverage,Lake Danielle,Male,Hong Kong,2016-06-07 01:29:06
42.44,23.0,48376.14,151.95,Public-key asynchronous matrix,West Joseph,Male,Czech Republic,2016-03-03 03:51:27
80.22,46.0,70547.16,140.95,Organic next generation matrix,West David,Male,Mongolia,2016-02-11 17:02:07
71.4,23.0,60514.05,228.81,Triple-buffered needs-based Local Area Network,New Tyler,Female,American Samoa,2016-07-23 04:04:42
55.6,29.0,72209.99,208.24,Centralized logistical secured line,Hollandberg,Male,Kuwait,2016-06-07 01:29:06
39.96,33.0,51013.37,198.45,Optimized coherent Internet solution,New Tammy,Male,Senegal,2016-04-10 00:13:47
86.06,32.0,60188.38,148.61,Up-sized next generation architecture,New Denisebury,Female,Serbia,2016-07-14 12:07:10
44.11,38.0,53852.85,120.63,Enterprise-wide bi-directional secured line,West Justin,Female,Vietnam,2016-05-09 07:13:27
56.2,40.0,47357.39,208.23,Seamless intangible secured line,Bakerhaven,Female,Bahamas,2016-04-27 04:28:17
76.44,54.0,48467.68,200.28,Compatible systemic function,Port Beth,Male,Liberia,2016-07-11 09:32:53
41.73,36.0,55993.68,106.04,Innovative interactive portal,Juliaport,Male,Eritrea,2016-02-06 23:08:57
82.52,32.0,43299.63,149.67,Optimized coherent Internet solution,New Denisebury,Male,Grenada,2016-04-28 22:54:37
60.7,40.0,47357.39,136.59,Seamless intangible secured line,Bakerhaven,Female,Bulgaria,2016-01-20 19:09:37
70.09,27.0,68962.32,106.86,Business-focused value-added definition,North Derekville,Female,Bahamas,2016-01-19 12:18:13
82.79,29.0,44490.09,238.63,Automated full-range Internet solution,West Shannon,Male,Kuwait,2016-07-15 15:43:36
51.95,44.0,37345.34,159.69,Automated web-enabled migration,East Jessefort,Female,Ethiopia,2016-06-20 08:22:09
60.7,39.0,69784.85,211.39,Streamlined next generation implementation,Jacobstad,Female,Czech Republic,2016-07-23 05:21:39
55.39,27.0,68962.32,239.22,Business-focused value-added definition,North Derekville,Female,Micronesia,2016-01-19 12:18:13
41.49,32.0,60188.38,218.17,Future-proofed coherent hardware,New Denisebury,Male,Senegal,2016-05-28 12:20:15
59.51,29.0,58909.36,120.25,Quality-focused hybrid frame,East Heidi,Female,Hong Kong,2016-04-07 03:56:16
54.37,22.0,62060.11,158.56,Cross-platform logistical pricing structure,Rhondaborough,Female,Eritrea,2016-06-17 09:58:46
48.86,57.0,50147.72,218.61,Front-line multi-state hub,Port James,Male,Bulgaria,2016-03-31 13:54:51
48.86,21.0,62204.93,156.99,User-friendly well-modulated leverage,Danielview,Male,Barbados,2016-01-04 21:48:38
59.05,52.0,51600.47,176.7,Enhanced optimizing website,Jeffreyshire,Male,Turkmenistan,2016-07-11 09:32:53
84.95,47.0,37345.34,200.28,Streamlined homogeneous analyzer,Wintersfort,Female,Fiji,2016-03-10 23:26:54
50.32,40.0,64147.86,222.08,Seamless intangible secured line,Ashleymouth,Female,Bahamas,2016-06-09 21:43:05
41.73,28.0,45716.48,196.83,Synchronized human-resource moderator,West Joseph,Male,Montserrat,2016-06-05 21:38:22
55.6,29.0,66574.0,238.63,Function-based fault-tolerant model,West Dannyberg,Male,Cameroon,2016-07-15 15:43:36
41.73,23.0,61770.34,151.95,Public-key asynchronous matrix,West Joseph,Male,Saudi Arabia,2016-03-19 00:27:58
48.22,35.0,23942.61,148.61,Reactive impactful challenge,North Raymond,Female,Micronesia,2016-04-24 01:48:21
56.93,23.0,41768.13,169.4,Visionary mission-critical application,New Tinamouth,Female,Peru,2016-04-27 04:28:17
67.91,35.0,23942.61,148.61,Reactive impactful challenge,Curtisport,Female,Micronesia,2016-02-28 03:34:35
73.1,27.0,48761.14,191.14,Synergized hybrid time-frame,Port Julie,Male,Tokelau,2016-01-30 16:10:04
71.27,49.0,65576.05,198.45,Versatile mission-critical application,South Blakestad,Female,Qatar,2016-02-04 03:10:17
60.23,27.0,64008.55,239.22,Business-focused value-added definition,Portermouth,Female,Kenya,2016-02-04 02:13:52
53.44,40.0,62204.93,119.27,Focused multimedia implementation,East Donna,Male,Mongolia,2016-05-17 18:06:46
59.22,25.0,63102.19,119.3,Quality-focused hybrid frame,Rivasland,Female,Barbados,2016-05-03 01:09:01
68.61,23.0,57877.15,151.95,Automated full-range Internet solution,Contrerasshire,Female,Ghana,2016-05-12 21:32:06
82.52,52.0,51600.47,176.7,Enhanced optimizing website,Benjaminchester,Male,Turkmenistan,2016-06-05 22:11:34
68.18,42.0,59419.78,170.04,Face-to-face even-keeled website,Curtisport,Male,Norway,2016-03-24 09:31:49
56.14,49.0,65576.05,243.37,Centralized neutral neural-net,Contrerasshire,Female,Qatar,2016-04-10 00:13:47
71.9,43.0,23942.61,222.11,Ameliorated coherent open architecture,Dustinmouth,Female,Congo,2016-06-07 05:41:16
79.97,44.0,58037.66,200.28,Proactive interactive service-desk,Rhondaborough,Female,Canada,2016-06-20 08:22:09
79.91,32.0,43299.63,113.8,Optimized coherent Internet solution,New Denisebury,Male,Turkmenistan,2016-02-15 07:27:41
44.72,21.0,45522.44,140.95,Front-line neutral alliance,Lake Dustin,Female,Sao Tome and Principe,2016-04-10 03:30:16
58.6,38.0,73207.15,120.63,Enterprise-wide bi-directional secured line,West Justin,Female,Cyprus,2016-06-18 17:56:32
51.38,51.0,58920.44,183.85,Managed well-modulated collaboration,New Karenberg,Female,Ghana,2016-06-29 10:50:45
59.21,41.0,51600.47,170.04,Focused 3rdgeneration pricing structure,North Kennethside,Male,Greece,2016-03-30 01:05:34
51.38,37.0,71455.62,119.3,Centralized tertiary pricing structure,Rivasland,Female,Moldova,2016-07-17 01:13:56
55.6,32.0,60188.38,219.98,Proactive client-server productivity,New Denisebury,Male,Turkmenistan,2016-03-30 20:23:48
44.98,30.0,55336.18,218.17,Total 5thgeneration standardization,Jamesfurt,Male,Syrian Arab Republic,2016-05-20 00:00:48
76.44,28.0,45716.48,196.83,Assimilated homogeneous service-desk,East Paul,Male,Monaco,2016-02-03 23:47:56
55.6,30.0,55336.18,140.95,Focused high-level frame,West Connor,Male,Tokelau,2016-06-03 21:43:21
42.05,29.0,60575.99,166.86,Quality-focused hybrid frame,East Heidi,Female,Hong Kong,2016-04-07 03:56:16
59.22,25.0,70783.94,214.42,Upgradable heuristic system engine,Erikville,Male,Marshall Islands,2016-03-24 06:36:52
51.95,31.0,40478.83,238.1,Universal incremental array,Port Melissastad,Male,Finland,2016-06-07 01:29:06
78.76,30.0,60372.64,105.69,Expanded clear-thinking core,New Tyler,Female,Bolivia,2016-02-04 03:10:17
46.28,26.0,72683.35,182.65,Quality-focused optimizing parallelism,Port Calvintown,Male,Niger,2016-02-10 08:21:13
75.84,44.0,42362.49,182.2,Visionary multi-tasking alliance,Port Joshuafort,Male,Mayotte,2016-06-17 09:58:46
51.95,52.0,27073.27,176.7,Enhanced optimizing website,West Rhondamouth,Male,Cayman Islands,2016-04-13 13:04:47
35.49,30.0,43299.63,162.05,Grass-roots transitional flexibility,Yangside,Male,United States Minor Outlying Islands,2016-02-11 17:02:07
74.38,31.0,57669.41,228.78,Integrated grid-enabled budgetary management,East Debraborough,Female,Cambodia,2016-04-06 11:24:21
73.1,23.0,25603.93,204.79,Adaptive uniform capability,Kennedyfurt,Male,Spain,2016-03-04 10:13:48
60.7,31.0,66269.49,228.78,Synergized well-modulated Graphical User Interface,Davieshaven,Female,Hong Kong,2016-03-19 14:23:45
44.72,29.0,60575.99,228.78,Quality-focused hybrid frame,Johnstonmouth,Female,Hong Kong,2016-04-07 03:56:16
77.44,40.0,57179.91,182.65,Proactive next generation knowledge user,Bakerhaven,Male,Singapore,2016-07-16 14:13:54
48.22,43.0,23942.61,131.76,Business-focused user-facing benchmark,Vanessaview,Female,Congo,2016-02-17 07:00:38
81.1,46.0,46500.11,124.85,User-centric composite contingency,New Michaeltown,Female,Barbados,2016-06-20 08:34:46
41.73,37.0,53012.94,115.37,Quality-focused hybrid frame,Lake Jonathanview,Male,Turkey,2016-05-22 21:54:23
54.37,28.0,45716.48,196.83,Inverse local hub,New Darlene,Female,Poland,2016-02-03 23:47:56
60.7,40.0,47357.39,222.08,Seamless intangible secured line,West Roytown,Female,Bahamas,2016-04-27 04:28:17
79.82,46.0,62204.93,162.03,Ergonomic methodical encoding,Sherrishire,Male,Niger,2016-04-24 13:42:15
79.97,39.0,39211.49,182.2,Universal incremental array,Colebury,Male,Uganda,2016-03-09 00:41:46
48.22,40.0,64147.86,182.11,Seamless intangible secured line,Joshuaburgh,Female,Bahamas,2016-06-09 21:43:05
42.44,22.0,59422.47,217.37,Business-focused value-added definition,Hartport,Female,Eritrea,2016-03-14 06:46:14
55.39,39.0,36752.24,222.08,Proactive encompassing paradigm,East Jessefort,Female,Bahamas,2016-06-24 21:09:58
61.09,26.0,67113.46,219.72,Expanded clear-thinking core,North Jessicaville,Female,Tunisia,2016-03-10 23:26:54
44.11,41.0,43450.11,152.49,Assimilated next generation firmware,Erikville,Male,Faroe Islands,2016-03-24 06:36:52
76.2,30.0,60372.64,188.27,Expanded clear-thinking core,New Tyler,Female,Bolivia,2016-02-04 03:10:17
72.03,31.0,69874.18,212.67,Ameliorated local workforce,Port Kathleenfort,Male,Hong Kong,2016-04-30 08:07:13
44.11,38.0,63336.85,145.96,Phased analyzing emulation,Joechester,Male,Ireland,2016-03-19 14:57:00
76.44,28.0,45716.48,196.83,Compatible systemic function,East Paul,Male,Ireland,2016-02-03 23:47:56
69.78,30.0,60372.64,166.86,Integrated 3rdgeneration monitoring,New Tyler,Female,Bolivia,2016-02-04 03:10:17
59.61,30.0,47929.83,218.17,Function-based fault-tolerant model,Port James,Male,Bahamas,2016-03-18 17:35:40
39.85,42.0,69456.83,242.37,Public-key disintermediate emulation,Port Beth,Male,Faroe Islands,2016-04-21 12:34:28
48.22,40.0,64147.86,162.43,Seamless intangible secured line,Bakerhaven,Female,Bahamas,2016-07-06 05:34:52
46.88,54.0,62060.11,233.6,Public-key asynchronous matrix,New Tinamouth,Female,Czech Republic,2016-04-27 04:28:17
42.44,36.0,69874.18,136.64,Ergonomic multi-state structure,Garciaside,Male,Saint Helena,2016-01-30 04:38:41
41.73,44.0,58920.44,141.89,Right-sized logistical middleware,Port Joshuafort,Male,Fiji,2016-05-05 11:09:29
78.76,51.0,66359.32,121.57,Managed well-modulated collaboration,Evansville,Female,Ghana,2016-02-14 11:36:08
81.37,46.0,57737.51,177.55,Polarized 6thgeneration info-mediaries,Danielview,Male,Barbados,2016-01-05 16:26:44
66.4,34.0,59419.78,233.36,De-engineered mobile infrastructure,New Denisebury,Female,Congo,2016-04-23 09:42:08
60.7,44.0,66359.32,200.28,Cross-platform logistical pricing structure,Rhondaborough,Female,Canada,2016-06-20 08:22:09
81.37,26.0,28357.27,182.65,Proactive 5thgeneration frame,Tranland,Female,Haiti,2016-03-14 06:46:14
58.6,46.0,74623.27,123.24,Advanced full-range migration,Morganport,Female,Barbados,2016-01-30 04:38:41
66.4,38.0,57877.15,120.63,Enterprise-wide bi-directional secured line,North Ricardotown,Female,Vietnam,2016-05-09 07:13:27
80.99,26.0,72683.35,182.65,Open-source scalable protocol,Lake Jonathanview,Male,Cuba,2016-04-18 21:07:28
81.56,21.0,62204.93,168.0,Managed disintermediate matrices,East Benjaminville,Female,Barbados,2016-03-18 17:35:40
80.09,49.0,47929.83,129.16,Configurable interactive contingency,Yangside,Male,Uganda,2016-04-10 00:13:47
59.22,25.0,63102.19,119.3,Cross-platform multimedia algorithm,West Wendyland,Female,Barbados,2016-01-05 20:58:42
80.22,52.0,27073.27,176.7,Enhanced optimizing website,Ryanhaven,Male,Cayman Islands,2016-01-25 07:39:41
66.18,22.0,51868.85,217.37,Compatible intermediate concept,Hernandezfort,Female,Bosnia and Herzegovina,2016-05-10 04:28:55
72.6,26.0,72683.35,182.65,Distributed intangible database,Lisamouth,Male,Niger,2016-04-18 21:07:28
66.4,38.0,73207.15,154.75,Enterprise-wide bi-directional secured line,North Ricardotown,Female,Cyprus,2016-06-18 17:56:32
60.23,27.0,48761.14,131.55,Multi-tiered mobile encoding,Edwardsmouth,Male,Cayman Islands,2016-02-04 02:13:52
73.18,52.0,53575.48,172.83,Organic leadingedge secured line,Kyleborough,Male,Cayman Islands,2016-03-31 10:44:46
39.85,41.0,64698.58,185.85,Managed well-modulated collaboration,Port Jennifer,Female,Faroe Islands,2016-06-16 18:04:51
76.44,28.0,45716.48,196.83,Compatible systemic function,New Darlene,Male,Fiji,2016-02-03 23:47:56
46.28,53.0,66359.32,195.69,Grass-roots cohesive monitoring,North Randy,Female,Barbados,2016-04-16 12:26:31
81.56,21.0,69456.83,237.39,Public-key disintermediate emulation,Wilcoxport,Male,Faroe Islands,2016-04-21 12:34:28
86.06,32.0,60188.38,218.17,Optimized coherent Internet solution,New Tammy,Male,Turkmenistan,2016-02-15 07:27:41
75.55,36.0,79332.33,136.64,Function-based fault-tolerant model,Garciaside,Male,Saint Helena,2016-04-28 22:54:37
75.55,27.0,39193.45,202.25,Implemented bifurcated workforce,Laurieside,Male,South Africa,2016-03-15 14:33:12
82.07,27.0,68962.32,122.45,Cross-platform client-server hierarchy,Edwardsmouth,Female,Micronesia,2016-01-19 12:18:13
41.49,51.0,27073.27,172.83,Operative secondary functionalities,Evansville,Female,Faroe Islands,2016-05-02 07:00:58
50.18,45.0,72209.99,169.4,Visionary mission-critical application,Olsonstad,Male,Luxembourg,2016-07-22 11:05:10
66.4,22.0,57877.15,182.65,Business-focused value-added definition,Hartport,Female,Eritrea,2016-01-05 17:56:52
39.85,25.0,57877.15,214.42,Upgradable heuristic system engine,Nelsonfurt,Male,Marshall Islands,2016-05-22 21:54:23
69.5,30.0,43299.63,186.37,Stand-alone national attitude,West David,Male,Mongolia,2016-03-06 06:51:23
56.56,28.0,45716.48,196.83,Compatible systemic function,Hartmanchester,Female,Poland,2016-02-03 23:47:56
62.42,35.0,41768.13,148.93,Seamless real-time array,North Kennethside,Male,Gibraltar,2016-03-30 01:05:34
46.66,45.0,29359.2,215.44,Right-sized value-added initiative,Estesfurt,Male,Saint Helena,2016-04-08 22:40:55
50.08,38.0,50147.72,216.03,Switchable 3rdgeneration hub,Port James,Male,Cambodia,2016-02-09 22:04:54
76.2,33.0,23942.61,195.69,Organized 24/7 middleware,Wrightburgh,Female,Austria,2016-06-24 21:09:58
50.32,40.0,56435.6,208.23,Seamless intangible secured line,Bakerhaven,Female,Bahamas,2016-06-09 21:43:05
75.55,33.0,53336.76,250.11,Business-focused value-added definition,Jeremybury,Male,Luxembourg,2016-03-15 19:35:19
81.56,35.0,39699.13,219.91,Balanced 4thgeneration success,North Kennethside,Male,Grenada,2016-03-18 13:22:35
39.47,31.0,66269.49,223.28,Fully-configurable incremental Graphical User Interface,Davieshaven,Female,Svalbard & Jan Mayen Islands,2016-04-16 08:36:08
55.55,43.0,74623.27,145.96,Enterprise-wide bi-directional secured line,Fosterside,Female,Barbados,2016-07-03 04:11:40
55.39,33.0,51013.37,218.17,Optimized coherent Internet solution,North Elizabeth,Male,Senegal,2016-02-26 23:44:44
78.41,46.0,64147.86,175.37,Down-sized well-modulated archive,East Breannafurt,Female,Barbados,2016-04-05 05:54:15
45.11,46.0,74623.27,233.36,Advanced full-range migration,Morganport,Female,Barbados,2016-07-07 13:37:34
72.03,34.0,54324.73,122.31,Vision-oriented methodical support,Jeremyshire,Male,Bosnia and Herzegovina,2016-06-15 05:30:13
37.87,37.0,57587.0,115.37,Enterprise-wide tangible model,Nelsonfurt,Male,Turkey,2016-05-22 21:54:23
55.6,43.0,79332.33,165.62,Monitored context-sensitive initiative,Lake Craigview,Male,Burundi,2016-04-18 21:07:28
72.6,23.0,30227.98,151.95,Switchable 3rdgeneration hub,Contrerasshire,Male,Wallis and Futuna,2016-06-05 21:38:22
55.55,38.0,73207.15,120.63,Enterprise-wide bi-directional secured line,Ramirezton,Female,Cyprus,2016-05-09 07:13:27
55.39,24.0,65120.86,178.75,Proactive encompassing paradigm,West Michaelport,Female,Iceland,2016-06-24 21:09:58
41.49,40.0,27073.27,176.7,Visionary multi-tasking alliance,Port Joshuafort,Male,Bosnia and Herzegovina,2016-03-21 11:02:49
72.03,46.0,50333.72,124.85,Advanced full-range migration,East Breannafurt,Female,Barbados,2016-01-30 04:38:41
54.37,31.0,68614.98,119.03,Synergized well-modulated Graphical User Interface,Davieshaven,Female,Colombia,2016-04-06 11:24:21
72.03,31.0,57669.41,212.67,Reduced holistic help-desk,Lake Danielle,Male,France,2016-03-09 02:07:17
42.44,42.0,66359.32,254.34,Public-key disintermediate emulation,Troyville,Male,Svalbard & Jan Mayen Islands,2016-04-21 12:34:28
78.76,35.0,23942.61,148.61,Reactive impactful challenge,Lake Dustin,Female,Benin,2016-04-24 01:48:21
37.65,30.0,60372.64,228.81,Horizontal heuristic synergy,Rivasland,Female,Austria,2016-02-04 03:10:17
72.6,26.0,53852.85,182.65,Decentralized client-driven data-warehouse,East Heidi,Female,Benin,2016-01-05 20:58:42
69.01,35.0,77871.75,119.3,Seamless real-time array,South Jessica,Female,Barbados,2016-04-10 03:30:16
35.25,29.0,60575.99,166.86,Quality-focused hybrid frame,Johnstonmouth,Female,Hong Kong,2016-04-07 03:56:16
69.78,29.0,60575.99,166.86,Quality-focused hybrid frame,Johnstonmouth,Female,Hong Kong,2016-04-07 03:56:16
79.57,33.0,72683.35,218.61,Optimized coherent Internet solution,North Elizabeth,Male,Saint Lucia,2016-06-03 21:43:21
66.17,29.0,72209.99,166.86,Function-based fault-tolerant model,East Graceland,Male,Guernsey,2016-07-15 15:43:36
79.97,52.0,69456.83,176.7,Public-key disintermediate emulation,Jeffreyshire,Male,Faroe Islands,2016-01-23 17:39:06
56.2,27.0,39193.45,194.95,Cross-platform client-server hierarchy,North Derekville,Female,Bahamas,2016-06-24 21:09:58
46.28,51.0,67744.56,174.55,Front-line bandwidth-monitored capacity,South Jessica,Male,United States Virgin Islands,2016-05-03 01:09:01
44.73,41.0,43450.11,109.34,Focused high-level conglomeration,Jessicahaven,Male,Faroe Islands,2016-07-05 18:59:45
39.85,26.0,72683.35,238.1,Optimized upward-trending productivity,Lake Jonathanview,Male,United Arab Emirates,2016-02-10 08:21:13
76.2,33.0,47357.39,210.53,Polarized tangible collaboration,Richardshire,Female,Samoa,2016-06-28 12:51:02
79.54,29.0,60309.58,212.67,Enterprise-wide bi-directional secured line,West Dannyberg,Male,Cameroon,2016-07-15 15:43:36
70.92,37.0,57587.0,214.42,Face-to-face multimedia success,Port Douglasborough,Male,Marshall Islands,2016-02-07 07:41:06
46.37,33.0,23821.72,210.53,Polarized tangible collaboration,West Rhondamouth,Female,Samoa,2016-06-19 23:21:38
45.08,43.0,64238.71,113.12,Upgradable heuristic system engine,West Wendyland,Male,Liechtenstein,2016-05-22 21:54:23
48.22,27.0,43881.73,218.8,Fully-configurable incremental Graphical User Interface,Grahamberg,Female,Cambodia,2016-04-06 11:24:21
74.88,30.0,63580.22,200.58,Robust dedicated system engine,New Teresa,Male,Bulgaria,2016-06-16 02:01:24
50.18,35.0,39699.13,267.01,Managed disintermediate matrices,North Kennethside,Male,Guam,2016-03-30 01:05:34
76.44,58.0,67301.39,132.27,Configurable 24/7 hub,Melissachester,Female,Australia,2016-02-07 07:41:06
80.3,35.0,23942.61,267.01,Seamless real-time array,Hintonport,Female,Senegal,2016-07-02 20:23:15
56.2,33.0,56435.6,210.53,Polarized tangible collaboration,Richardshire,Female,Senegal,2016-06-28 12:51:02
53.38,35.0,39699.13,148.93,Managed disintermediate matrices,North Kennethside,Male,Gibraltar,2016-03-18 13:22:35
41.49,45.0,59550.05,196.17,Public-key asynchronous matrix,New Tinamouth,Female,Cyprus,2016-04-27 04:28:17
41.73,51.0,67744.56,174.55,Front-line bandwidth-monitored capacity,Jeffreyshire,Male,United States Virgin Islands,2016-03-15 20:19:20
46.28,26.0,56593.8,182.65,Right-sized logistical middleware,Suzannetown,Male,Japan,2016-04-14 21:37:49
83.91,44.0,58920.44,141.89,Right-sized logistical middleware,Port Joshuafort,Male,Christmas Island,2016-04-25 03:18:45
42.44,23.0,34127.21,151.95,Public-key asynchronous matrix,West Joseph,Female,Ghana,2016-06-21 03:14:41
76.07,42.0,59419.78,123.28,De-engineered mobile infrastructure,East Heatherside,Female,Christmas Island,2016-01-15 01:20:05
32.99,33.0,38645.4,218.17,Optimized coherent Internet solution,New Tammy,Male,Lao People's Democratic Republic,2016-02-26 23:44:44
47.23,33.0,41547.62,210.53,Polarized tangible collaboration,North Tara,Female,Samoa,2016-01-21 04:30:43
76.2,32.0,54806.18,113.8,Up-sized real-time methodology,New Denisebury,Female,Serbia,2016-07-06 23:09:07
80.29,51.0,51772.58,174.55,Managed well-modulated collaboration,Reyesfurt,Male,Syrian Arab Republic,2016-04-10 03:30:16
72.19,32.0,60188.38,178.75,Proactive client-server productivity,New Denisebury,Male,Turkmenistan,2016-04-29 07:49:01
60.7,29.0,60575.99,115.91,Integrated grid-enabled budgetary management,Johnstonmouth,Female,Hong Kong,2016-04-07 03:56:16
37.65,36.0,57846.68,142.23,Centralized asynchronous portal,Garciaside,Female,Svalbard & Jan Mayen Islands,2016-04-28 22:54:37
79.82,26.0,58996.56,182.65,Quality-focused optimizing parallelism,Port Cassie,Male,Dominican Republic,2016-04-18 03:41:56
56.2,33.0,48826.14,230.36,Customer-focused explicit challenge,Tammymouth,Male,Bolivia,2016-06-30 00:40:31
62.42,26.0,60575.99,228.78,Integrated grid-enabled budgetary management,Johnstonmouth,Female,Hong Kong,2016-04-07 03:56:16
54.37,26.0,62060.11,172.81,Object-based leadingedge complexity,South Blakestad,Female,Latvia,2016-03-18 17:35:40
48.22,40.0,47357.39,162.43,Seamless intangible secured line,Bakerhaven,Female,Bulgaria,2016-06-09 21:43:05
68.25,44.0,48467.68,200.28,Optional tangible productivity,East Heatherside,Female,Fiji,2016-06-17 09:58:46
42.44,38.0,62792.43,154.75,Enterprise-wide bi-directional secured line,Ramirezton,Female,Cyprus,2016-01-05 20:58:42
60.7,34.0,58909.36,122.31,Multi-layered secondary software,Lake Craigview,Female,Peru,2016-02-17 18:50:57
37.65,36.0,73207.15,136.64,User-centric solution-oriented emulation,Lake Kurtmouth,Female,Zimbabwe,2016-02-06 23:08:57
51.95,52.0,27073.27,172.83,Automated web-enabled migration,Jacobstad,Female,Portugal,2016-02-21 16:57:59
65.9,38.0,50147.72,204.22,Business-focused value-added definition,East Michaeltown,Male,Sao Tome and Principe,2016-01-05 17:56:52
46.28,25.0,50086.17,176.7,Right-sized logistical middleware,Claytonside,Male,Kazakhstan,2016-02-10 08:21:13
50.33,35.0,65791.17,267.01,Team-oriented bi-directional secured line,North Kennethside,Male,Korea,2016-01-05 04:18:46
80.46,39.0,60637.62,198.45,Automated full-range Internet solution,Port James,Male,Uganda,2016-03-18 17:35:40
89.8,30.0,55336.18,214.08,Total 5thgeneration standardization,West David,Male,Mongolia,2016-02-11 17:02:07
76.44,25.0,66359.32,119.3,Quality-focused hybrid frame,Rivasland,Female,Guinea,2016-05-03 01:09:01
75.84,44.0,75535.14,161.16,De-engineered tertiary secured line,Roberttown,Male,United States Minor Outlying Islands,2016-02-04 02:13:52
